,Unnamed: 0.1,Unnamed: 0,index,Latitude_x,Longitude_x,index_x,join_key,MRT Name,Latitude_y,Longitude_y,index_y,euclidean_distance,coordinate_pair,distance,duration
0,0,0,85,1.4324773882709496,103.7913216676051,0,A,WOODLANDS MRT STATION,1.43605761708128,103.787938777173,86,0.5476258845924774,"[[103.7913216676051, 1.4324773882709496], [103.787938777173, 1.43605761708128]]",1459.0,370.0
1,1,1,245,1.349428009750324,103.87584367374164,1,A,SERANGOON MRT STATION,1.35063361526525,103.872771660431,32,0.3668676363455308,"[[103.87584367374164, 1.349428009750324], [103.872771660431, 1.35063361526525]]",550.6,174.8
2,2,2,474,1.3626193754768163,103.74593959900368,2,A,BUKIT GOMBAK MRT STATION,1.35861159094192,103.751790910733,47,0.7884722533064998,"[[103.74593959900368, 1.3626193754768163], [103.751790910733, 1.35861159094192]]",1618.0,463.5
3,3,3,661,1.3480371710809351,103.9456495181096,3,A,TAMPINES WEST MRT STATION,1.3456336579777,103.938492495285,19,0.8392937679371016,"[[103.9456495181096, 1.3480371710809351], [103.938492495285, 1.3456336579777]]",1038.7,240.9
4,4,4,992,1.2943824558480614,103.81046267406816,4,A,QUEENSTOWN MRT STATION,1.29455085184931,103.806077155982,137,0.487882370377838,"[[103.81046267406816, 1.2943824558480614], [103.806077155982, 1.29455085184931]]",690.5,176.7
5,5,5,1098,1.4021416943464815,103.89272023174956,5,A,SOO TECK LRT STATION,1.40532331860455,103.897290522033,29,0.6190846938287191,"[[103.89272023174956, 1.4021416943464815], [103.897290522033, 1.40532331860455]]",942.4,243.8
6,6,6,1301,1.420390256668904,103.84115735254449,6,A,KHATIB MRT STATION,1.41738337009565,103.832979908243,17,0.9685516047052488,"[[103.84115735254449, 1.420390256668904], [103.832979908243, 1.41738337009565]]",1419.7,451.0
7,7,7,1639,1.3519580162695448,103.703863368823,7,A,BOON LAY MRT STATION,1.33861033900695,103.706084900902,142,1.5045991453147602,"[[103.703863368823, 1.3519580162695448], [103.706084900902, 1.33861033900695]]",2332.7,652.6
8,8,8,1802,1.3365152581552813,103.85257763525732,8,A,TOA PAYOH MRT STATION,1.33259672794159,103.847577286075,91,0.7062830762102973,"[[103.85257763525732, 1.3365152581552813], [103.847577286075, 1.33259672794159]]",1398.9,360.4
9,9,9,1935,1.3171248251194296,103.87774943658016,9,A,ALJUNIED MRT STATION,1.3164326118157,103.882906044385,9,0.5783816824710193,"[[103.87774943658017, 1.3171248251194296], [103.882906044385, 1.3164326118157]]",1322.3,312.4
10,10,10,2181,1.3108222206834323,103.76079382526086,10,A,CLEMENTI MRT STATION,1.31511625277378,103.765191452888,42,0.6833530932196622,"[[103.76079382526086, 1.3108222206834323], [103.765191452888, 1.31511625277378]]",2221.3,450.4
11,11,11,2375,1.361745454987451,103.95284147050111,11,A,TAMPINES EAST MRT STATION,1.35619148271544,103.9546344625,21,0.6489404900454634,"[[103.95284147050111, 1.361745454987451], [103.9546344625, 1.35619148271544]]",1078.6,248.2
12,12,12,2621,1.3662038012058704,103.8486010062186,12,A,ANG MO KIO MRT STATION,1.36942855699191,103.849455226442,54,0.3709367803618429,"[[103.8486010062186, 1.3662038012058704], [103.849455226442, 1.36942855699191]]",879.1,266.7
13,13,13,2850,1.3860395324405113,103.76018649582376,13,A,SENJA LRT STATION,1.38272547134453,103.76234425472,69,0.4396941376244178,"[[103.76018649582376, 1.3860395324405113], [103.76234425472, 1.38272547134453]]",915.7,305.2
14,14,14,3127,1.3871543749976811,103.90472237219862,14,A,BAKAU LRT STATION,1.38799431054768,103.905415300171,132,0.1210625974744838,"[[103.90472237219862, 1.3871543749976811], [103.905415300171, 1.38799431054768]]",367.5,98.8
15,15,15,3385,1.3337226968701588,103.91459957502391,15,A,BEDOK NORTH MRT STATION,1.33474211664091,103.91797832995,176,0.392330811475193,"[[103.91459957502391, 1.3337226968701588], [103.91797832995, 1.33474211664091]]",788.5,288.4
16,16,16,3524,1.4518009084572183,103.8196321925288,16,A,SEMBAWANG MRT STATION,1.44905082158502,103.820046140211,101,0.3092382829094565,"[[103.81963219252881, 1.4518009084572183], [103.820046140211, 1.44905082158502]]",502.2,119.7
17,17,17,3784,1.273025222215572,103.82389154448728,17,A,HARBOURFRONT MRT STATION,1.26538938374901,103.821530157095,147,0.8887211901885286,"[[103.82389154448728, 1.273025222215572], [103.821530157095, 1.26538938374901]]",1422.6,379.6
18,18,18,3996,1.3824019198044433,103.74175241364358,18,A,CHOA CHU KANG LRT STATION,1.38475541089131,103.74453769781,145,0.4053997649711832,"[[103.74175241364358, 1.3824019198044433], [103.74453769781, 1.38475541089131]]",599.6,193.4
19,19,19,4073,1.3758127822588984,103.88277936840002,19,A,HOUGANG MRT STATION,1.37129226620797,103.892380513029,7,1.17973612529026,"[[103.88277936840002, 1.3758127822588984], [103.892380513029, 1.37129226620797]]",1916.1,403.2
20,20,20,4328,1.3492579183060975,103.73067562265308,20,A,CHINESE GARDEN MRT STATION,1.34224494823931,103.732766601621,49,0.8137123674959106,"[[103.73067562265308, 1.3492579183060975], [103.732766601621, 1.34224494823931]]",1107.0,229.6
21,21,21,4530,1.312928634749774,103.85367021648912,21,A,FARRER PARK MRT STATION,1.31314029963164,103.854754721344,37,0.1228356832116722,"[[103.85367021648912, 1.312928634749774], [103.854754721344, 1.31314029963164]]",233.0,53.7
22,22,22,4812,1.3451758746856304,103.69332980757288,22,A,PIONEER MRT STATION,1.33758701106708,103.697321608474,105,0.9534055150700544,"[[103.69332980757287, 1.3451758746856304], [103.697321608474, 1.33758701106708]]",1340.8,349.6
23,23,23,4933,1.376999330122905,103.94157129192764,23,A,PASIR RIS MRT STATION,1.37300805046319,103.949265083922,11,0.96355818401976,"[[103.94157129192764, 1.376999330122905], [103.949265083922, 1.37300805046319]]",1375.8,321.3
24,24,24,5228,1.3958822676347806,103.87872013506778,24,A,THANGGAM LRT STATION,1.39731815581938,103.875635154729,93,0.3782789476092477,"[[103.87872013506778, 1.3958822676347806], [103.875635154729, 1.39731815581938]]",603.4,120.7
25,25,25,5485,1.4044127878154389,103.90767593702245,25,A,DAMAI LRT STATION,1.40523483636957,103.908603542566,136,0.1377964344553864,"[[103.90767593702245, 1.4044127878154387], [103.908603542566, 1.40523483636957]]",307.0,127.6
26,26,26,5740,1.3289725854321912,103.93537427563926,26,A,BEDOK RESERVOIR MRT STATION,1.33660782955099,103.932234623286,177,0.917941138156376,"[[103.93537427563926, 1.3289725854321912], [103.932234623286, 1.33660782955099]]",1244.8,340.3
27,27,27,5952,1.3403476951181017,103.74495034275768,27,A,JURONG EAST MRT STATION,1.33315261987295,103.742286544006,175,0.8530982448612429,"[[103.74495034275768, 1.3403476951181015], [103.742286544006, 1.33315261987295]]",1535.1,414.2
28,28,28,6125,1.3061011997379577,103.79978237134024,28,A,COMMONWEALTH MRT STATION,1.30250199924325,103.798228523336,134,0.4358988176352336,"[[103.79978237134024, 1.3061011997379577], [103.798228523336, 1.30250199924325]]",895.8,192.0
29,29,29,6221,1.4292367250306883,103.77408592349828,29,A,MARSILING MRT STATION,1.43252114855026,103.774074641403,15,0.3652133856217079,"[[103.77408592349828, 1.4292367250306883], [103.774074641403, 1.43252114855026]]",530.1,141.2
30,30,30,6421,1.3135906442596297,103.89636720879246,30,A,PAYA LEBAR MRT STATION,1.31719911972353,103.8923648823,1,0.5991257674379886,"[[103.89636720879246, 1.3135906442596297], [103.8923648823, 1.31719911972353]]",1013.2,322.9
31,31,31,6715,1.3968814538039696,103.74663950198192,31,A,YEW TEE MRT STATION,1.39729771118639,103.74735767326,82,0.0922806416396374,"[[103.74663950198192, 1.3968814538039696], [103.74735767326, 1.39729771118639]]",217.5,97.5
32,32,32,6860,1.440681641599151,103.79773334236516,32,A,ADMIRALTY MRT STATION,1.44058856161847,103.800990519771,12,0.3622150232039234,"[[103.79773334236516, 1.440681641599151], [103.800990519771, 1.44058856161847]]",713.3,173.6
33,33,33,7159,1.3287249832086492,103.72249327909466,33,A,LAKESIDE MRT STATION,1.34425911493819,103.720949087456,98,1.7358253870518068,"[[103.72249327909466, 1.3287249832086492], [103.720949087456, 1.34425911493819]]",2574.6,659.4
34,34,34,7295,1.3559005167995315,103.93737476409096,34,A,TAMPINES WEST MRT STATION,1.3456336579777,103.938492495285,19,1.1483643268693935,"[[103.93737476409096, 1.3559005167995315], [103.938492495285, 1.3456336579777]]",1421.6,386.4
35,35,35,7581,1.283249842538977,103.82571417986028,35,A,TIONG BAHRU MRT STATION,1.28610253588403,103.827445112691,92,0.3710060305505073,"[[103.82571417986028, 1.283249842538977], [103.827445112691, 1.28610253588403]]",617.0,165.8
36,36,36,7717,1.3045215983768328,103.91456498442368,36,A,KEMBANGAN MRT STATION,1.3210381335934,103.912947930851,13,1.8453314018668188,"[[103.91456498442368, 1.3045215983768328], [103.912947930851, 1.3210381335934]]",2533.6,546.7
37,37,37,7925,1.3757582509028432,103.89486799426156,37,A,HOUGANG MRT STATION,1.37129226620797,103.892380513029,7,0.5683902129540215,"[[103.89486799426156, 1.3757582509028432], [103.892380513029, 1.37129226620797]]",1220.6,382.2
38,38,38,8214,1.4334656524684517,103.8301430011276,38,A,YISHUN MRT STATION,1.42944308477331,103.835005047246,83,0.7015491493051413,"[[103.8301430011276, 1.4334656524684517], [103.835005047246, 1.42944308477331]]",1878.3,819.5
39,39,39,8376,1.3469887154108573,103.95390900850254,39,A,SIMEI MRT STATION,1.34319707851829,103.953377214378,31,0.4257351491749014,"[[103.95390900850254, 1.3469887154108573], [103.953377214378, 1.34319707851829]]",608.6,208.2
40,40,40,8684,1.3569266513530682,103.84735019364278,40,A,BISHAN MRT STATION,1.35131580146658,103.84914026532,125,0.6548635768799232,"[[103.84735019364278, 1.3569266513530682], [103.84914026532, 1.35131580146658]]",1088.9,285.7
41,41,41,8830,1.381709788057038,103.7705887041727,41,A,BANGKIT LRT STATION,1.38002223010088,103.772647370452,57,0.2959435271203942,"[[103.7705887041727, 1.381709788057038], [103.772647370452, 1.38002223010088]]",583.2,154.4
42,42,42,8999,1.3725514256581888,103.9569854671732,42,A,PASIR RIS MRT STATION,1.37300805046319,103.949265083922,11,0.8597217085369661,"[[103.9569854671732, 1.3725514256581888], [103.949265083922, 1.37300805046319]]",1570.8,398.2
43,43,43,9415,1.369073774162889,103.83737359314524,43,A,MAYFLOWER MRT STATION,1.37146318831015,103.836567766945,214,0.2803851127827679,"[[103.83737359314524, 1.3690737741628887], [103.836567766945, 1.37146318831015]]",345.2,93.8
44,44,44,9488,1.322619880370448,103.86129903653968,44,A,BOON KENG MRT STATION,1.31993957653291,103.862052698446,73,0.30958818152607,"[[103.86129903653968, 1.3226198803704479], [103.862052698446, 1.31993957653291]]",667.0,306.0
45,45,45,9719,1.3275510825784262,103.90183478438554,45,A,UBI MRT STATION,1.32997425973974,103.899226655439,90,0.3958049955803231,"[[103.90183478438554, 1.3275510825784262], [103.899226655439, 1.32997425973974]]",850.9,175.9
46,46,46,9886,1.348189034486812,103.7513324699828,46,A,BUKIT BATOK MRT STATION,1.34903331201636,103.749566478309,43,0.2176071819238918,"[[103.7513324699828, 1.348189034486812], [103.749566478309, 1.34903331201636]]",361.6,217.0
47,47,47,10155,1.351840999086742,103.71864380857032,47,A,LAKESIDE MRT STATION,1.34425911493819,103.720949087456,98,0.8811546297162378,"[[103.71864380857033, 1.351840999086742], [103.720949087456, 1.34425911493819]]",1545.5,411.9
48,48,48,10446,1.3215987687663329,103.739603107817,48,A,JURONG EAST MRT STATION,1.33315261987295,103.742286544006,175,1.3189070245700834,"[[103.739603107817, 1.3215987687663329], [103.742286544006, 1.33315261987295]]",2885.4,723.3
49,49,49,10631,1.3929355444866551,103.89280301499218,49,A,SENGKANG LRT STATION,1.39160936379906,103.895442583336,146,0.3283916404926338,"[[103.89280301499218, 1.3929355444866551], [103.895442583336, 1.39160936379906]]",603.4,152.7
50,50,50,10841,1.3375863284393408,103.7019233109752,50,A,BOON LAY MRT STATION,1.33861033900695,103.706084900902,142,0.4764282077649607,"[[103.7019233109752, 1.3375863284393408], [103.706084900902, 1.33861033900695]]",657.6,219.7
51,51,51,11026,1.2855382001095763,103.84177430019191,51,A,CHINATOWN MRT STATION,1.28422391919085,103.845143798953,113,0.4020761116901114,"[[103.84177430019191, 1.2855382001095763], [103.845143798953, 1.28422391919085]]",947.8,289.0
52,52,52,11166,1.283666961910063,103.8170127356597,52,A,REDHILL MRT STATION,1.28963453412887,103.81674097205,39,0.6642511336876107,"[[103.8170127356597, 1.283666961910063], [103.81674097205, 1.28963453412887]]",1455.8,348.4
53,53,53,11547,1.2742046059839796,103.810983773026,53,A,TELOK BLANGAH MRT STATION,1.27070647772509,103.809761611219,206,0.4120195062498374,"[[103.810983773026, 1.2742046059839796], [103.809761611219, 1.27070647772509]]",768.3,285.0
54,54,54,11566,1.3975614519124175,103.90672415709751,54,A,COVE LRT STATION,1.39928198837342,103.905961941214,10,0.2092377938484996,"[[103.90672415709751, 1.3975614519124175], [103.905961941214, 1.39928198837342]]",500.7,100.1
55,55,55,11777,1.3643491861018473,103.89148275702132,55,A,HOUGANG MRT STATION,1.37129226620797,103.892380513029,7,0.7784587420184786,"[[103.89148275702132, 1.3643491861018473], [103.892380513029, 1.37129226620797]]",1409.8,329.7
56,56,56,12025,1.3209578915311426,103.76958129000876,56,A,CLEMENTI MRT STATION,1.31511625277378,103.765191452888,42,0.8124478244142874,"[[103.76958129000876, 1.3209578915311426], [103.765191452888, 1.31511625277378]]",1856.7,405.5
57,57,57,12296,1.4176575961825648,103.90280758613748,57,A,SAMUDERA LRT STATION,1.41590172160383,103.902156317163,99,0.2082342115587952,"[[103.90280758613748, 1.4176575961825648], [103.902156317163, 1.41590172160383]]",655.3,193.4
58,58,58,12582,1.329532328394165,103.88689926933428,58,A,MACPHERSON MRT STATION,1.32615024457361,103.889298600376,171,0.4610526916473,"[[103.88689926933428, 1.3295323283941647], [103.889298600376, 1.32615024457361]]",675.4,135.1
59,59,59,12708,1.4271940529260363,103.85158594775211,59,A,YISHUN MRT STATION,1.42944308477331,103.835005047246,83,1.860027535489018,"[[103.85158594775211, 1.4271940529260363], [103.835005047246, 1.42944308477331]]",3126.9,842.2
60,60,60,12857,1.4159659620025002,103.83414554338896,60,A,KHATIB MRT STATION,1.41738337009565,103.832979908243,17,0.2040334646720907,"[[103.83414554338896, 1.4159659620025002], [103.832979908243, 1.41738337009565]]",402.5,276.8
61,61,61,13136,1.436643254262956,103.83779202669284,61,A,YISHUN MRT STATION,1.42944308477331,103.835005047246,83,0.8584711914217367,"[[103.83779202669284, 1.436643254262956], [103.835005047246, 1.42944308477331]]",1753.6,559.8
62,62,62,13420,1.3583035916342328,103.88606619683274,62,A,KOVAN MRT STATION,1.36017917065237,103.885064856353,153,0.2364014395265394,"[[103.88606619683274, 1.3583035916342328], [103.885064856353, 1.36017917065237]]",841.2,186.5
63,63,63,13657,1.331158877705397,103.92511734443046,63,A,BEDOK NORTH MRT STATION,1.33474211664091,103.91797832995,176,0.8880121094542602,"[[103.92511734443046, 1.331158877705397], [103.91797832995, 1.33474211664091]]",1940.4,414.9
64,64,64,13736,1.394629448134859,103.91310356960057,64,A,CORAL EDGE LRT STATION,1.39390922863313,103.912580845515,41,0.0989444189939201,"[[103.91310356960057, 1.3946294481348587], [103.912580845515, 1.39390922863313]]",438.7,100.4
65,65,65,13949,1.3889995410271168,103.98795002672024,65,A,CHANGI AIRPORT MRT STATION,1.35747897447692,103.98788356959,40,3.5049348709807493,"[[103.98795002672024, 1.3889995410271168], [103.98788356959, 1.35747897447692]]",,
66,66,66,14248,1.3481371699232108,103.85006389464333,66,A,BISHAN MRT STATION,1.35131580146658,103.84914026532,125,0.3680588401271115,"[[103.85006389464333, 1.3481371699232108], [103.84914026532, 1.35131580146658]]",494.1,107.3
67,67,67,14422,1.3351261502425211,103.87209203229304,67,A,WOODLEIGH MRT STATION,1.33919004519388,103.87081830915,85,0.47354849289212,"[[103.87209203229305, 1.3351261502425211], [103.87081830915, 1.33919004519388]]",1014.6,261.6
68,68,68,14651,1.3875054447710005,103.89694162515364,68,A,RANGGUNG LRT STATION,1.38423355918277,103.897194667804,100,0.3649028599685598,"[[103.89694162515364, 1.3875054447710005], [103.897194667804, 1.38423355918277]]",467.6,100.6
69,69,69,14807,1.311720531078266,103.76928038036944,69,A,CLEMENTI MRT STATION,1.31511625277378,103.765191452888,42,0.5909199037740878,"[[103.76928038036944, 1.311720531078266], [103.765191452888, 1.31511625277378]]",639.0,127.8
70,70,70,15088,1.3057662989339631,103.7833262606836,70,A,BUONA VISTA MRT STATION,1.3072237082044,103.790253514502,109,0.7869422967127555,"[[103.7833262606836, 1.3057662989339631], [103.790253514502, 1.3072237082044]]",1694.7,407.9
71,71,71,15346,1.3682677771117435,103.87261119290233,71,A,KOVAN MRT STATION,1.36017917065237,103.885064856353,153,1.6509034689262685,"[[103.87261119290233, 1.3682677771117435], [103.885064856353, 1.36017917065237]]",2408.8,572.3
72,72,72,15550,1.3771997075669322,103.748851402442,72,A,KEAT HONG LRT STATION,1.3786032506373,103.749055668925,143,0.1577100744854453,"[[103.74885140244201, 1.3771997075669322], [103.749055668925, 1.3786032506373]]",502.5,204.6
73,73,73,15749,1.3893162106689907,103.8741652100297,73,A,FERNVALE LRT STATION,1.39188589234766,103.87630862552,128,0.3720428069085282,"[[103.8741652100297, 1.3893162106689907], [103.87630862552, 1.39188589234766]]",588.2,202.6
74,74,74,15851,1.4312364378004545,103.77995549763844,74,A,MARSILING MRT STATION,1.43252114855026,103.774074641403,15,0.6691436529745255,"[[103.77995549763844, 1.4312364378004543], [103.774074641403, 1.43252114855026]]",788.7,245.9
75,75,75,16071,1.354335696061895,103.96033447016262,75,A,TAMPINES EAST MRT STATION,1.35619148271544,103.9546344625,21,0.6663894099999226,"[[103.96033447016262, 1.354335696061895], [103.9546344625, 1.35619148271544]]",1022.4,229.2
76,76,76,16279,1.4444321332667944,103.77276908813832,76,A,MARSILING MRT STATION,1.43252114855026,103.774074641403,15,1.332368365649844,"[[103.77276908813832, 1.4444321332667944], [103.774074641403, 1.43252114855026]]",2121.6,438.8
77,77,77,16524,1.3569337613764818,103.74014740478052,77,A,BUKIT GOMBAK MRT STATION,1.35861159094192,103.751790910733,47,1.3077120160276197,"[[103.74014740478052, 1.3569337613764818], [103.751790910733, 1.35861159094192]]",1710.8,401.1
78,78,78,16782,1.3322993070082307,103.84965522660332,78,A,TOA PAYOH MRT STATION,1.33259672794159,103.847577286075,91,0.2333494163287056,"[[103.84965522660332, 1.3322993070082307], [103.847577286075, 1.33259672794159]]",366.3,209.7
79,79,79,16989,1.37980801926143,103.84150197259844,79,A,YIO CHU KANG MRT STATION,1.38149882492597,103.845170704861,84,0.4490761847023721,"[[103.84150197259844, 1.37980801926143], [103.845170704861, 1.38149882492597]]",860.3,237.4
80,80,80,17189,1.3019409521652276,103.88362078428372,80,A,MOUNTBATTEN MRT STATION,1.30620190525331,103.882528081052,70,0.4891199675283194,"[[103.88362078428372, 1.3019409521652276], [103.882528081052, 1.30620190525331]]",776.3,216.7
81,81,81,17419,1.441772483199321,103.79032077692509,81,A,WOODLANDS MRT STATION,1.43605761708128,103.787938777173,86,0.6884217888843921,"[[103.79032077692509, 1.441772483199321], [103.787938777173, 1.43605761708128]]",1167.9,331.3
82,82,82,17757,1.3192285155957597,103.94557010130274,82,A,TANAH MERAH MRT STATION,1.32731098211445,103.946451703007,210,0.9040569608517312,"[[103.94557010130274, 1.3192285155957597], [103.946451703007, 1.32731098211445]]",1307.2,325.6
83,83,83,17773,1.3819207343422384,103.94369230175448,83,A,PASIR RIS MRT STATION,1.37300805046319,103.949265083922,11,1.1687316179270664,"[[103.94369230175448, 1.3819207343422384], [103.949265083922, 1.37300805046319]]",1830.5,430.5
84,84,84,18053,1.3387079613008284,103.77362882572064,84,A,BEAUTY WORLD MRT STATION,1.34090149001429,103.775746717778,78,0.3390001740917303,"[[103.77362882572064, 1.3387079613008284], [103.775746717778, 1.34090149001429]]",521.5,152.1
85,85,85,18291,1.4011713380623023,103.90169484277304,85,A,PUNGGOL LRT STATION,1.40519470149606,103.902411911915,102,0.454423248709522,"[[103.90169484277304, 1.4011713380623023], [103.902411911915, 1.40519470149606]]",659.5,161.3
86,86,86,18545,1.3433715679969556,103.7061269124601,86,A,BOON LAY MRT STATION,1.33861033900695,103.706084900902,142,0.5294451063794858,"[[103.7061269124601, 1.3433715679969556], [103.706084900902, 1.33861033900695]]",1170.9,325.6
87,87,87,18645,1.3767856843293131,103.7397419371452,87,A,SOUTH VIEW LRT STATION,1.38029828742399,103.745291799824,28,0.7301835594625304,"[[103.7397419371452, 1.3767856843293131], [103.745291799824, 1.38029828742399]]",805.5,189.3
88,88,88,18914,1.4299664525108295,103.84339056805456,88,A,YISHUN MRT STATION,1.42944308477331,103.835005047246,83,0.9339519908140476,"[[103.84339056805456, 1.4299664525108295], [103.835005047246, 1.42944308477331]]",1808.8,546.8
89,89,89,19143,1.3381532057455416,103.7214787907682,89,A,LAKESIDE MRT STATION,1.34425911493819,103.720949087456,98,0.6814948183972652,"[[103.7214787907682, 1.3381532057455416], [103.720949087456, 1.34425911493819]]",988.2,262.7
90,90,90,19367,1.3786624206904408,103.87905320236814,90,A,SENGKANG LRT DEPOT,1.38987312371034,103.883852884646,108,1.3559553064269505,"[[103.87905320236814, 1.3786624206904408], [103.883852884646, 1.38987312371034]]",3197.2,680.4
91,91,91,19546,1.3272195838463068,103.85756876136954,91,A,BOON KENG MRT STATION,1.31993957653291,103.862052698446,73,0.9506579068824442,"[[103.85756876136954, 1.3272195838463068], [103.862052698446, 1.31993957653291]]",2368.9,604.2
