,Unnamed: 0.1,Unnamed: 0,index,Latitude_x,Longitude_x,index_x,join_key,MRT Name,Latitude_y,Longitude_y,index_y,euclidean_distance,coordinate_pair,distance,duration
92,92,92,19730,1.3503717236066928,103.74588045392116,92,A,BUKIT BATOK MRT STATION,1.34903331201636,103.749566478309,43,0.4359434386329358,"[[103.74588045392116, 1.3503717236066928], [103.749566478309, 1.34903331201636]]",730.3,305.4
93,93,93,20045,1.3870133069886323,103.76546498208116,93,A,JELAPANG LRT STATION,1.38673926997961,103.76453408646,144,0.1078737114326745,"[[103.76546498208116, 1.3870133069886323], [103.76453408646, 1.38673926997961]]",194.1,79.8
94,94,94,20300,1.4452151368879849,103.83174594896865,94,A,CANBERRA MRT STATION,1.44307664075699,103.829702590959,185,0.3288405610303523,"[[103.83174594896865, 1.4452151368879849], [103.829702590959, 1.44307664075699]]",917.5,254.6
95,95,95,20349,1.3494336785880316,103.9333539237946,95,A,TAMPINES WEST MRT STATION,1.3456336579777,103.938492495285,19,0.7105214051095596,"[[103.9333539237946, 1.3494336785880316], [103.938492495285, 1.3456336579777]]",1161.8,325.4
96,96,96,20653,1.2756419763680185,103.83950412311589,96,A,OUTRAM PARK MRT STATION,1.27973970679335,103.839513521005,110,0.4556480317749189,"[[103.83950412311589, 1.2756419763680185], [103.839513521005, 1.27973970679335]]",801.3,215.9
97,97,97,20811,1.37213791124516,103.85732023968572,97,A,ANG MO KIO MRT STATION,1.36942855699191,103.849455226442,54,0.9247490048911544,"[[103.85732023968573, 1.37213791124516], [103.849455226442, 1.36942855699191]]",1725.1,460.0
98,98,98,20976,1.305827281281948,103.8623129166334,98,A,LAVENDER MRT STATION,1.30737781747063,103.862767633888,4,0.1796692133590722,"[[103.86231291663341, 1.305827281281948], [103.862767633888, 1.30737781747063]]",460.4,140.8
99,99,99,21207,1.3609124046648151,103.95803394649506,99,A,TAMPINES EAST MRT STATION,1.35619148271544,103.9546344625,21,0.646817164493976,"[[103.95803394649506, 1.3609124046648151], [103.9546344625, 1.35619148271544]]",1017.4,220.0
100,100,100,21547,1.3753673909478197,103.77359719316692,100,A,PENDING LRT STATION,1.37613574334988,103.771261175571,148,0.2733721792525635,"[[103.77359719316692, 1.3753673909478197], [103.771261175571, 1.37613574334988]]",460.4,270.2
101,101,101,21656,1.344916917136854,103.75741220184112,101,A,BUKIT BATOK MRT STATION,1.34903331201636,103.749566478309,43,0.9849766254016528,"[[103.75741220184112, 1.344916917136854], [103.749566478309, 1.34903331201636]]",1410.0,330.4
102,102,102,21909,1.4024676694109992,103.75019483844864,102,A,YEW TEE MRT STATION,1.39729771118639,103.74735767326,82,0.655702916661262,"[[103.75019483844864, 1.4024676694109992], [103.74735767326, 1.39729771118639]]",879.8,224.8
103,103,103,22091,1.3993617199290949,103.91813155822196,103,A,KADALOOR LRT STATION,1.39950910636258,103.916574974234,50,0.1738070004184902,"[[103.91813155822196, 1.3993617199290949], [103.916574974234, 1.39950910636258]]",665.4,195.1
104,104,104,22268,1.4431417600860352,103.80693659397264,104,A,ADMIRALTY MRT STATION,1.44058856161847,103.800990519771,12,0.7193567121873263,"[[103.80693659397264, 1.4431417600860352], [103.800990519771, 1.44058856161847]]",997.8,221.4
105,105,105,22473,1.3086360272035835,103.88541244775529,105,A,DAKOTA MRT STATION,1.30854798388121,103.889064718377,3,0.4061260620979439,"[[103.88541244775529, 1.3086360272035835], [103.889064718377, 1.30854798388121]]",616.0,131.0
106,106,106,22703,1.3618978283662635,103.93583456325216,106,A,TAMPINES WEST MRT STATION,1.3456336579777,103.938492495285,19,1.8324704551839257,"[[103.93583456325216, 1.3618978283662635], [103.938492495285, 1.3456336579777]]",2486.5,606.6
107,107,107,22909,1.3693959421083557,103.949647487418,107,A,PASIR RIS MRT STATION,1.37300805046319,103.949265083922,11,0.4038913754830112,"[[103.949647487418, 1.3693959421083555], [103.949265083922, 1.37300805046319]]",567.6,167.8
108,108,108,23211,1.3833032291361167,103.89545404394303,108,A,RANGGUNG LRT STATION,1.38423355918277,103.897194667804,100,0.2194098377453021,"[[103.89545404394303, 1.3833032291361167], [103.897194667804, 1.38423355918277]]",582.9,126.9
109,109,109,23459,1.2996168042710607,103.79796868984572,109,A,COMMONWEALTH MRT STATION,1.30250199924325,103.798228523336,134,0.3221167263946423,"[[103.79796868984572, 1.2996168042710607], [103.798228523336, 1.30250199924325]]",1077.3,255.1
110,110,110,23648,1.308622750600233,103.79401320563068,110,A,BUONA VISTA MRT STATION,1.3072237082044,103.790253514502,109,0.4459628097227813,"[[103.79401320563068, 1.308622750600233], [103.790253514502, 1.3072237082044]]",1238.4,352.6
111,111,111,23893,1.377157412896861,103.76738624176596,111,A,PETIR LRT STATION,1.37777204259082,103.766645782497,140,0.1069862062575684,"[[103.76738624176596, 1.377157412896861], [103.766645782497, 1.37777204259082]]",1074.2,260.6
112,112,112,23999,1.3526955949960908,103.87208186186216,112,A,SERANGOON MRT STATION,1.35063361526525,103.872771660431,32,0.2417644096366828,"[[103.87208186186216, 1.3526955949960908], [103.872771660431, 1.35063361526525]]",388.3,233.0
113,113,113,24358,1.3353585240789,103.93660330019505,113,A,BEDOK RESERVOIR MRT STATION,1.33660782955099,103.932234623286,177,0.5051203472955587,"[[103.93660330019505, 1.3353585240789], [103.932234623286, 1.33660782955099]]",764.8,369.0
114,114,114,24437,1.3045182588389768,103.76417746044278,114,A,CLEMENTI MRT STATION,1.31511625277378,103.765191452888,42,1.1838219379455737,"[[103.76417746044278, 1.3045182588389768], [103.765191452888, 1.31511625277378]]",1803.3,436.5
115,115,115,24751,1.3440905883320242,103.70255473700657,115,A,BOON LAY MRT STATION,1.33861033900695,103.706084900902,142,0.7248029651527422,"[[103.70255473700657, 1.3440905883320242], [103.706084900902, 1.33861033900695]]",1132.2,374.1
116,116,116,24868,1.4104582805095245,103.89901090097152,116,A,NIBONG LRT STATION,1.41185447744238,103.900339452055,45,0.2142730387794446,"[[103.89901090097152, 1.4104582805095245], [103.900339452055, 1.41185447744238]]",240.3,121.3
117,117,117,25059,1.356867879838095,103.94653560074488,117,A,TAMPINES EAST MRT STATION,1.35619148271544,103.9546344625,21,0.903436125055254,"[[103.94653560074487, 1.356867879838095], [103.9546344625, 1.35619148271544]]",1462.6,323.5
118,118,118,25388,1.2872510490477802,103.80745467480816,118,A,QUEENSTOWN MRT STATION,1.29455085184931,103.806077155982,137,0.8260197732012234,"[[103.80745467480816, 1.2872510490477802], [103.806077155982, 1.29455085184931]]",2067.1,449.4
119,119,119,25603,1.313588946032592,103.87226653774702,119,A,KALLANG MRT STATION,1.31148890998818,103.871386541754,138,0.2531764175845949,"[[103.87226653774702, 1.313588946032592], [103.871386541754, 1.31148890998818]]",413.0,149.4
120,120,120,25853,1.3172689747485051,103.8070580447481,120,A,FARRER ROAD MRT STATION,1.31743915158967,103.807379214161,174,0.0404076044157388,"[[103.8070580447481, 1.3172689747485051], [103.807379214161, 1.31743915158967]]",39.4,23.6
121,121,121,25915,1.356948580106044,103.95260944585569,121,A,TAMPINES EAST MRT STATION,1.35619148271544,103.9546344625,21,0.2403351855685666,"[[103.95260944585569, 1.356948580106044], [103.9546344625, 1.35619148271544]]",496.1,167.8
122,122,122,26182,1.3877880612070277,103.77113132592812,122,A,SEGAR LRT STATION,1.38778508663361,103.769599685249,75,0.1702610378804102,"[[103.77113132592812, 1.3877880612070277], [103.769599685249, 1.38778508663361]]",397.4,107.0
123,123,123,26334,1.435566123626416,103.7984696563486,123,A,ADMIRALTY MRT STATION,1.44058856161847,103.800990519771,12,0.6248287548007837,"[[103.7984696563486, 1.435566123626416], [103.800990519771, 1.44058856161847]]",1049.5,218.8
124,124,124,26584,1.3412897099140313,103.73776486083258,124,A,CHINESE GARDEN MRT STATION,1.34224494823931,103.732766601621,49,0.5656902100805188,"[[103.73776486083258, 1.3412897099140313], [103.732766601621, 1.34224494823931]]",1310.2,378.5
125,125,125,26914,1.3001754928952325,103.85261752754148,125,A,BENCOOLEN MRT STATION,1.29891843369422,103.850353762717,165,0.2878680339741069,"[[103.85261752754148, 1.3001754928952323], [103.850353762717, 1.29891843369422]]",584.2,122.3
126,126,126,27068,1.3420858957952733,103.69820792668644,126,A,PIONEER MRT STATION,1.33758701106708,103.697321608474,105,0.5098635301583976,"[[103.69820792668644, 1.3420858957952733], [103.697321608474, 1.33758701106708]]",784.5,262.5
127,127,127,27212,1.340246889111359,103.84736998160729,127,A,BRADDELL MRT STATION,1.3404690010277,103.846799083148,35,0.0681000090209703,"[[103.84736998160729, 1.340246889111359], [103.846799083148, 1.3404690010277]]",275.7,95.7
128,128,128,27407,1.4414773872761129,103.77700330853932,128,A,MARSILING MRT STATION,1.43252114855026,103.774074641403,15,1.0477483749353491,"[[103.77700330853932, 1.4414773872761129], [103.774074641403, 1.43252114855026]]",1999.3,469.3
129,129,129,27617,1.3764410471296462,103.93532540342808,129,A,PASIR RIS MRT STATION,1.37300805046319,103.949265083922,11,1.5959021714632544,"[[103.93532540342808, 1.3764410471296462], [103.949265083922, 1.37300805046319]]",2009.6,465.2
130,130,130,27841,1.365527974839832,103.96192213040476,130,A,TAMPINES EAST MRT STATION,1.35619148271544,103.9546344625,21,1.3168513958931,"[[103.96192213040476, 1.365527974839832], [103.9546344625, 1.35619148271544]]",1847.9,382.1
131,131,131,28176,1.3802018490424155,103.75238828775416,131,A,KEAT HONG LRT STATION,1.3786032506373,103.749055668925,143,0.4109014245676575,"[[103.75238828775416, 1.3802018490424155], [103.749055668925, 1.3786032506373]]",674.3,190.1
132,132,132,28261,1.3244800559305867,103.91086108698852,132,A,KEMBANGAN MRT STATION,1.3210381335934,103.912947930851,13,0.4475430173375327,"[[103.91086108698852, 1.3244800559305867], [103.912947930851, 1.3210381335934]]",524.3,122.9
133,133,133,28505,1.40302773351769,103.91363269662236,133,A,OASIS LRT STATION,1.40228667971123,103.912727352412,44,0.1300703932227101,"[[103.91363269662236, 1.40302773351769], [103.912727352412, 1.40228667971123]]",275.7,115.0
134,134,134,28683,1.3692446831352711,103.89673146398728,134,A,HOUGANG MRT STATION,1.37129226620797,103.892380513029,7,0.5345752630871232,"[[103.89673146398728, 1.3692446831352711], [103.892380513029, 1.37129226620797]]",1095.5,244.8
135,135,135,28963,1.3349199323312244,103.87983998471915,135,A,BARTLEY MRT STATION,1.34250117805245,103.880177899184,74,0.8438325801193367,"[[103.87983998471915, 1.3349199323312244], [103.880177899184, 1.34250117805245]]",1772.2,416.5
136,136,136,29270,1.331070363536183,103.9105270220288,136,A,KAKI BUKIT MRT STATION,1.33496735995428,103.908459338046,167,0.4905143902472742,"[[103.9105270220288, 1.3310703635361827], [103.908459338046, 1.33496735995428]]",919.9,308.7
137,137,137,29492,1.319622234935913,103.74844957129432,137,A,JURONG EAST MRT STATION,1.33315261987295,103.742286544006,175,1.6531580882137238,"[[103.74844957129432, 1.319622234935913], [103.742286544006, 1.33315261987295]]",2343.9,558.6
138,138,138,29539,1.3769906866785988,103.88740001950951,138,A,HOUGANG MRT STATION,1.37129226620797,103.892380513029,7,0.8414381462435827,"[[103.88740001950951, 1.3769906866785988], [103.892380513029, 1.37129226620797]]",2106.2,460.1
139,139,139,29751,1.3876362125316877,103.89230308539994,139,A,RENJONG LRT STATION,1.38670058991904,103.89062131608,5,0.2139478288008921,"[[103.89230308539994, 1.3876362125316875], [103.89062131608, 1.38670058991904]]",381.5,95.6
140,140,140,30153,1.2873053155075924,103.83124558172256,140,A,HAVELOCK MRT STATION,1.28850523975311,103.833585838226,194,0.2923782141159154,"[[103.83124558172256, 1.2873053155075924], [103.833585838226, 1.28850523975311]]",475.6,108.3
141,141,141,30191,1.4219328516149332,103.8342614561949,141,A,KHATIB MRT STATION,1.41738337009565,103.832979908243,17,0.525555020703951,"[[103.8342614561949, 1.4219328516149332], [103.832979908243, 1.41738337009565]]",763.2,310.7
142,142,142,30599,1.358578531558104,103.8312574689162,142,A,UPPER THOMSON MRT STATION,1.35441643365401,103.832898468504,212,0.4974581838991633,"[[103.8312574689162, 1.358578531558104], [103.832898468504, 1.35441643365401]]",1128.2,333.7
143,143,143,30754,1.351900278087288,103.88714922992672,143,A,KOVAN MRT STATION,1.36017917065237,103.885064856353,153,0.9492832875493056,"[[103.88714922992672, 1.351900278087288], [103.885064856353, 1.36017917065237]]",2003.9,486.9
144,144,144,30913,1.3458054936786623,103.71665313225688,144,A,LAKESIDE MRT STATION,1.34425911493819,103.720949087456,98,0.5075698205715757,"[[103.71665313225688, 1.3458054936786623], [103.720949087456, 1.34425911493819]]",1174.5,384.1
145,145,145,31168,1.3899114203180352,103.90844068671731,145,A,RUMBIA LRT STATION,1.39146849534132,103.90597359341,139,0.3243281139945404,"[[103.90844068671731, 1.3899114203180352], [103.90597359341, 1.39146849534132]]",482.2,242.8
146,146,146,31291,1.321696370933544,103.90258499594844,146,A,EUNOS MRT STATION,1.31978354916088,103.903225807255,48,0.224308256355333,"[[103.90258499594844, 1.3216963709335439], [103.903225807255, 1.31978354916088]]",407.3,185.8
147,147,147,31479,1.352520986138544,103.9504418181398,147,A,TAMPINES EAST MRT STATION,1.35619148271544,103.9546344625,21,0.6195163418647023,"[[103.9504418181398, 1.3525209861385439], [103.9546344625, 1.35619148271544]]",989.3,250.3
148,148,148,31881,1.3227396181800248,103.94022068265332,148,A,TANAH MERAH MRT STATION,1.32731098211445,103.946451703007,210,0.8591722081917137,"[[103.94022068265332, 1.3227396181800248], [103.946451703007, 1.32731098211445]]",2223.0,630.0
149,149,149,31986,1.4553415869529795,103.81542958660565,149,A,SEMBAWANG MRT STATION,1.44905082158502,103.820046140211,101,0.8675528213835838,"[[103.81542958660565, 1.4553415869529795], [103.820046140211, 1.44905082158502]]",1209.8,257.2
150,150,150,32262,1.3222808862876692,103.86843063407994,150,A,GEYLANG BAHRU MRT STATION,1.32130110228321,103.871622627142,163,0.3711874993022267,"[[103.86843063407994, 1.3222808862876692], [103.871622627142, 1.32130110228321]]",723.6,260.2
151,151,151,32356,1.349874397888229,103.75674484430944,151,A,BUKIT BATOK MRT STATION,1.34903331201636,103.749566478309,43,0.8034384421625353,"[[103.75674484430944, 1.349874397888229], [103.749566478309, 1.34903331201636]]",1458.2,376.0
152,152,152,32628,1.450934280995836,103.82516230031416,152,A,SEMBAWANG MRT STATION,1.44905082158502,103.820046140211,101,0.6060455369085914,"[[103.82516230031416, 1.450934280995836], [103.820046140211, 1.44905082158502]]",924.3,295.3
153,153,153,32784,1.3464473757208313,103.7434977674945,153,A,BUKIT BATOK MRT STATION,1.34903331201636,103.749566478309,43,0.7333467127461852,"[[103.7434977674945, 1.3464473757208313], [103.749566478309, 1.34903331201636]]",1022.7,255.8
154,154,154,33132,1.3354911780761851,103.92737998600568,154,A,BEDOK RESERVOIR MRT STATION,1.33660782955099,103.932234623286,177,0.5537641439551231,"[[103.92737998600568, 1.3354911780761851], [103.932234623286, 1.33660782955099]]",566.7,139.9
155,155,155,33319,1.363162602100774,103.85411678653448,155,A,BISHAN DEPOT,1.35535858543375,103.853976756031,150,0.8679066663804923,"[[103.85411678653448, 1.363162602100774], [103.853976756031, 1.35535858543375]]",1341.6,479.5
156,156,156,33393,1.3197570291249976,103.88524398979668,156,A,ALJUNIED MRT STATION,1.3164326118157,103.882906044385,9,0.4518790934662325,"[[103.88524398979668, 1.3197570291249976], [103.882906044385, 1.3164326118157]]",814.4,263.0
157,157,157,33679,1.393015554937482,103.74703416282716,157,A,YEW TEE MRT STATION,1.39729771118639,103.74735767326,82,0.4775101555930511,"[[103.74703416282716, 1.3930155549374819], [103.74735767326, 1.39729771118639]]",1044.6,357.2
158,158,158,33894,1.4281731411757848,103.84676425991503,158,A,YISHUN MRT STATION,1.42944308477331,103.835005047246,83,1.314763588421753,"[[103.84676425991503, 1.4281731411757848], [103.835005047246, 1.42944308477331]]",2892.8,765.8
159,159,159,34038,1.4479460100957011,103.80148472439492,159,A,ADMIRALTY MRT STATION,1.44058856161847,103.800990519771,12,0.8199533128044874,"[[103.80148472439492, 1.4479460100957011], [103.800990519771, 1.44058856161847]]",1359.3,290.1
160,160,160,34344,1.3413839035834612,103.69383412220128,160,A,PIONEER MRT STATION,1.33758701106708,103.697321608474,105,0.5731913179784897,"[[103.69383412220128, 1.3413839035834612], [103.697321608474, 1.33758701106708]]",1332.2,266.4
161,161,161,34472,1.3911680756745697,103.87835302031765,161,A,LAYAR LRT STATION,1.39207983659997,103.880029600546,18,0.2121630476299487,"[[103.87835302031765, 1.3911680756745697], [103.880029600546, 1.39207983659997]]",508.2,241.7
162,162,162,34756,1.392319881660584,103.88569515873348,162,A,TONGKANG LRT STATION,1.38934794658941,103.885844150116,89,0.3308788743579723,"[[103.88569515873348, 1.392319881660584], [103.885844150116, 1.38934794658941]]",485.6,126.8
163,163,163,34901,1.3482832980261572,103.93904394346256,163,A,TAMPINES WEST MRT STATION,1.3456336579777,103.938492495285,19,0.300936274940868,"[[103.93904394346256, 1.3482832980261572], [103.938492495285, 1.3456336579777]]",368.8,150.7
164,164,164,35107,1.3612805640207817,103.93970501613722,164,A,PASIR RIS MRT STATION,1.37300805046319,103.949265083922,11,1.6822319084255142,"[[103.93970501613722, 1.3612805640207815], [103.949265083922, 1.37300805046319]]",3406.9,802.1
165,165,165,35396,1.343875915636728,103.95779739796367,165,A,UPPER CHANGI MRT STATION,1.34173977444995,103.961472788634,87,0.4726003804446128,"[[103.95779739796367, 1.343875915636728], [103.961472788634, 1.34173977444995]]",935.0,215.0
166,166,166,35651,1.3927246134342532,103.87204675990245,166,A,FERNVALE LRT STATION,1.39188589234766,103.87630862552,128,0.4828501647764179,"[[103.87204675990245, 1.3927246134342532], [103.87630862552, 1.39188589234766]]",978.0,243.3
167,167,167,35754,1.394430748737401,103.90349754719496,167,A,COMPASSVALE LRT STATION,1.39449304450373,103.900492450944,16,0.3341243088894135,"[[103.90349754719496, 1.394430748737401], [103.900492450944, 1.39449304450373]]",916.7,247.0
168,168,168,35967,1.4381062319006723,103.7798496556179,168,A,MARSILING MRT STATION,1.43252114855026,103.774074641403,15,0.8931868422870458,"[[103.7798496556179, 1.4381062319006723], [103.774074641403, 1.43252114855026]]",2254.5,543.8
169,169,169,36266,1.446207013871725,103.81639750611036,169,A,SEMBAWANG MRT STATION,1.44905082158502,103.820046140211,101,0.5142843693122049,"[[103.81639750611036, 1.4462070138717247], [103.820046140211, 1.44905082158502]]",1319.7,370.1
170,170,170,36555,1.3258040401773907,103.92278782623345,170,A,BEDOK NORTH MRT STATION,1.33474211664091,103.91797832995,176,1.1285490692064937,"[[103.92278782623345, 1.3258040401773907], [103.91797832995, 1.33474211664091]]",3061.0,659.7
171,171,171,36698,1.348077526216629,103.69786754570892,171,A,PIONEER MRT STATION,1.33758701106708,103.697321608474,105,1.1680697153131387,"[[103.69786754570892, 1.3480775262166287], [103.697321608474, 1.33758701106708]]",1697.6,340.9
172,172,172,36835,1.3749276451165235,103.74427015636898,172,A,SOUTH VIEW LRT STATION,1.38029828742399,103.745291799824,28,0.6078910893306224,"[[103.74427015636898, 1.3749276451165235], [103.745291799824, 1.38029828742399]]",872.8,343.1
173,173,173,37056,1.3380321250531613,103.8572763030006,173,A,BRADDELL MRT STATION,1.3404690010277,103.846799083148,35,1.1958006855087413,"[[103.8572763030006, 1.3380321250531613], [103.846799083148, 1.3404690010277]]",2298.3,590.9
174,174,174,37445,1.3229399658864007,103.93475081515926,174,A,TANAH MERAH MRT STATION,1.32731098211445,103.946451703007,210,1.3885719488532966,"[[103.93475081515926, 1.3229399658864007], [103.946451703007, 1.32731098211445]]",2465.0,632.4
175,175,175,37547,1.3502525494718407,103.72466515417032,175,A,LAKESIDE MRT STATION,1.34425911493819,103.720949087456,98,0.7840841125040839,"[[103.72466515417032, 1.3502525494718407], [103.720949087456, 1.34425911493819]]",1324.5,332.4
176,176,176,37818,1.351700462224058,103.8379073632779,176,A,MARYMOUNT MRT STATION,1.348707263451,103.839423132332,155,0.3730505943965059,"[[103.8379073632779, 1.351700462224058], [103.839423132332, 1.348707263451]]",743.7,185.8
177,177,177,37969,1.2775902532183938,103.82004838309877,177,A,TIONG BAHRU MRT STATION,1.28610253588403,103.827445112691,92,1.2538093825959715,"[[103.82004838309877, 1.2775902532183938], [103.827445112691, 1.28610253588403]]",2423.2,555.2
178,178,178,38138,1.3627951542605017,103.75072037426068,178,A,BUKIT GOMBAK MRT STATION,1.35861159094192,103.751790910733,47,0.4801716256457999,"[[103.75072037426067, 1.3627951542605015], [103.751790910733, 1.35861159094192]]",939.7,266.1
179,179,179,38408,1.3840486849738411,103.90046940649889,179,A,KANGKAR LRT STATION,1.38395911688913,103.90222537044,103,0.1954512365962274,"[[103.90046940649889, 1.3840486849738411], [103.90222537044, 1.38395911688913]]",564.2,118.4
180,180,180,38573,1.3662625430688309,103.84369091606789,180,A,ANG MO KIO MRT STATION,1.36942855699191,103.849455226442,54,0.7311181366763615,"[[103.84369091606789, 1.3662625430688309], [103.849455226442, 1.36942855699191]]",953.4,213.4
181,181,181,38870,1.297145299929383,103.80440567595988,181,A,QUEENSTOWN MRT STATION,1.29455085184931,103.806077155982,137,0.3431508124180614,"[[103.80440567595988, 1.297145299929383], [103.806077155982, 1.29455085184931]]",806.8,161.4
182,182,182,39001,1.3709738116242185,103.84511535366347,182,A,ANG MO KIO MRT STATION,1.36942855699191,103.849455226442,54,0.5121191944976325,"[[103.84511535366347, 1.3709738116242183], [103.849455226442, 1.36942855699191]]",851.0,221.6
