MRT.Name,time_difference,distance,steepness,suitability,Weighted_Score,rank
TANJONG PAGAR MRT STATION,38.794444444444444,5.747333333333334,0.0,7.215723873441996,20.140890209864708,0
CHANGI AIRPORT MRT STATION,34.0,5.284,0.0,7.990276706858217,18.935421365486576,1
HARBOURFRONT MRT STATION,21.954761904761906,3.8528571428571428,0.23062920901927447,6.561966020838253,13.23784322910201,2
KENT RIDGE MRT STATION,15.283333333333331,2.33725,0.6279524907551264,7.215363394960567,11.355378800226273,3
KING ALBERT PARK MRT STATION,15.105555555555554,1.5115833333333333,0.0734911727282801,6.495862035250336,10.929246066482996,4
BUKIT GOMBAK MRT STATION,12.744444444444442,1.9266666666666667,0.5778932646670295,7.825433164816552,10.915001649830982,5
QUEENSTOWN MRT STATION,14.075,1.201,0.5,6.694319593591964,10.695255674873572,6
TAMPINES WEST MRT STATION,13.291666666666668,1.7395,0.0,7.095010862810184,10.644775356914813,7
LABRADOR PARK MRT STATION,12.9,1.203,0.0,6.906120175458955,10.444296140367165,8
BEDOK MRT STATION,12.027777777777777,0.847,0.0,7.029058360351887,10.26495779939262,9
CANBERRA MRT STATION,12.104761904761906,2.5677142857142856,0.0,7.381086457964725,10.233231071133686,10
PIONEER MRT STATION,11.3,1.77725,0.0,7.57951161708156,10.228159293665248,11
WOODLANDS SOUTH MRT STATION,11.933333333333335,1.2605,0.0,6.300757272077705,9.5618391509955,12
STADIUM MRT STATION,8.866666666666667,1.684,0.0,7.927519315213162,9.551882118837197,13
TAMPINES EAST MRT STATION,10.983333333333334,2.4103333333333334,0.0,6.962296608122785,9.481103953164896,14
CALDECOTT MRT STATION,9.466666666666667,1.054,1.0,7.405147600747698,9.399984747264826,15
KALLANG MRT STATION,7.683333333333334,0.86,0.0,7.840023847376789,9.173352411234765,16
PASIR RIS MRT STATION,9.133333333333335,2.3228888888888886,0.0,7.33935714707382,9.060241273214613,17
LORONG CHUAN MRT STATION,9.436507936507937,1.525809523809524,0.0,6.983037768036449,9.05587148427043,18
SEMBAWANG MRT STATION,9.816666666666666,1.408,0.0,6.720521771082124,9.021484083532366,19
NEWTON MRT STATION,10.98,1.0166,0.3964692404316412,5.7259608052297555,8.72980172014064,20
HOLLAND VILLAGE MRT STATION,9.198148148148148,1.1537777777777778,0.013805689747718734,6.5996908272403125,8.726875796521183,21
MAYFLOWER MRT STATION,7.6033333333333335,1.1705999999999999,0.1,7.341388439901847,8.670324085254812,22
SIXTH AVENUE MRT STATION,9.15,1.1213076923076923,0.15384615384615385,6.475998599104414,8.601152725437379,23
ADMIRALTY MRT STATION,6.4,0.83,0.0,7.741880146386094,8.587504117108876,24
DAKOTA MRT STATION,6.677777777777778,1.5082,0.0,7.725958460419609,8.550237879446799,25
NAPIER MRT STATION,8.544444444444446,1.4733333333333334,0.3333333333333333,6.774900030757941,8.509697802384132,26
TAI SENG MRT STATION,7.483333333333333,0.682,0.0,6.870213690242239,8.353104285527126,27
BEAUTY WORLD MRT STATION,8.122619047619049,1.1998571428571427,0.8626768426496637,6.771180738852496,8.33975309729322,28
YISHUN MRT STATION,7.6625,2.08825,0.0,7.069955952841519,8.303314762273216,29
FERNVALE LRT STATION,7.583333333333334,2.7948125,0.0,7.2120453127570405,8.244007083538966,30
ANG MO KIO MRT STATION,9.59,2.7286,0.2301454385380695,6.126446144486156,8.168422371735119,31
KAKI BUKIT MRT STATION,7.716666666666667,1.152,0.0,6.61861770730597,8.151160832511444,32
YEW TEE MRT STATION,6.033333333333335,1.313,0.3333333333333333,7.44984327318176,8.07727461854541,33
HOUGANG MRT STATION,8.09,1.1654,0.0631006811607726,6.309894581654538,8.044525597207553,34
SOO TECK LRT STATION,5.916666666666666,0.925,1.0,7.39404296875,7.996901041666668,35
REDHILL MRT STATION,6.233333333333334,1.6524999999999999,0.0,7.2524850906705165,7.964821405869748,36
LENTOR MRT STATION,5.389583333333333,0.839,0.125,7.449742610818055,7.935327421987777,37
MATTAR MRT STATION,5.3805555555555555,0.9726666666666667,0.16666666666666666,7.451173990473876,7.901961414601323,38
LITTLE INDIA MRT STATION,4.033333333333333,0.577,0.0,8.0,7.8979333333333335,39
KHATIB MRT STATION,6.533333333333334,1.9965,0.0,7.0980624269379975,7.892483274883732,40
SAMUDERA LRT STATION,4.933333333333334,0.71,0.0,7.566915887850467,7.884866043613707,41
KOVAN MRT STATION,6.218253968253968,1.0,0.047619047619047616,6.965424270154538,7.8548790986633135,42
CHENG LIM LRT STATION,3.75,0.42,0.0,7.960518750399284,7.784415000319427,43
MARYMOUNT MRT STATION,6.083333333333333,0.866,0.4,6.950535975889427,7.7805621140448755,44
WOODLANDS MRT STATION,6.200000000000003,1.705,0.0,7.0397996273557535,7.770839701884604,45
BOON LAY MRT STATION,5.1916666666666655,1.6475,0.0,7.520973237983402,7.763945257053388,46
KEMBANGAN MRT STATION,5.246929824561403,2.0507894736842105,0.0,7.571091500366879,7.745487235381222,47
BARTLEY MRT STATION,7.322222222222223,1.3765555555555555,0.1583268153013029,6.342672514351408,7.711883107728775,48
KANGKAR LRT STATION,7.966666666666667,1.096,0.5,5.977535654169151,7.699495190001989,49
CHOA CHU KANG LRT STATION,6.533333333333333,0.821,0.0,6.51648424543947,7.662320729684909,50
FORT CANNING MRT STATION,7.566666666666666,0.69,0.0,5.963188576668632,7.659217528001573,51
MARSILING MRT STATION,7.783333333333333,1.117,0.0574644907827138,5.959013010728025,7.6513972928374825,52
ORCHARD MRT STATION,5.833333333333333,0.78525,1.0,6.939191560374675,7.627636581633075,53
YIO CHU KANG MRT STATION,8.857142857142858,4.641857142857143,0.0,6.2384119342569875,7.6052152616913045,54
TAN KAH KEE MRT STATION,6.381818181818181,1.7552727272727273,0.10049102541512621,6.7316598674646,7.576951518702896,55
STEVENS MRT STATION,6.483333333333333,0.7824444444444444,0.2222222222222222,6.428469955066593,7.557398186275497,56
THANGGAM LRT STATION,6.083333333333333,1.012,0.3333333333333333,6.671587495842012,7.53486999667361,57
NOVENA MRT STATION,5.99,1.2711999999999999,0.0,6.726651040525813,7.523080832420652,58
GREAT WORLD MRT STATION,6.383333333333333,0.9825,0.5,6.460945389399223,7.475589644852712,59
ONE-NORTH MRT STATION,5.816666666666667,0.648,0.0,6.571053224232415,7.453909246052599,60
SPRINGLEAF MRT STATION,5.771428571428571,1.106142857142857,0.2857142857142857,6.704040928534482,7.422004171399015,61
RUMBIA LRT STATION,4.116666666666667,0.648,0.0,7.365658524759076,7.409593486473929,62
BUANGKOK MRT STATION,2.8666666666666663,0.226,1.0,8.0,7.401466666666668,63
CHOA CHU KANG MRT STATION,3.0000000000000004,0.52,0.0,7.84411503518,7.371292028144,64
CORAL EDGE LRT STATION,2.5666666666666664,0.373,0.0,8.0,7.352066666666667,65
WOODLEIGH MRT STATION,7.341666666666666,1.1935000000000002,0.0,5.813292819067378,7.3486009219205695,66
FARRER PARK MRT STATION,3.1366666666666667,0.616,0.2,7.774073722230611,7.330725644451157,67
SIMEI MRT STATION,3.7388888888888894,1.3710000000000002,0.6666666666666666,7.695193436082493,7.310843637754884,68
SOMERSET MRT STATION,5.1000000000000005,1.027,0.5,6.876335032387506,7.285668025910005,69
SOUTH VIEW LRT STATION,5.9833333333333325,2.143,0.0,6.569381552012903,7.2202385749436555,70
MOUNTBATTEN MRT STATION,6.433333333333334,0.915,0.0,5.986682912396187,7.179679663250283,71
HILLVIEW MRT STATION,4.306666666666667,0.8238,0.4310145638646653,7.072882163454135,7.173110941043508,72
PUNGGOL POINT LRT STATION,3.3166666666666678,0.901,0.0,7.435886402753873,7.095175788869765,73
DHOBY GHAUT MRT STATION,5.55,1.213,0.5,6.4163972478689,7.0605177982951215,74
PHOENIX LRT STATION,5.525,0.475,1.0,6.299227195866035,7.054381756692829,75
BEDOK NORTH MRT STATION,7.866666666666667,0.576,0.0,5.026477570150344,7.052648722786942,76
CASHEW MRT STATION,4.491666666666667,0.82,0.5,6.837247528496176,7.0524646894636085,77
BOON KENG MRT STATION,3.1333333333333337,0.7915,0.0,7.429524808814038,7.038653180384564,78
LAKESIDE MRT STATION,5.2875000000000005,1.0827499999999999,0.0,6.4014056350580875,7.019574508046471,79
HAW PAR VILLA MRT STATION,7.141666666666667,0.7535000000000001,0.0,5.3245748484056445,6.965626545391182,80
TECK WHYE LRT STATION,6.799999999999999,1.05,1.0,5.693523601123668,6.964818880898934,81
PENDING LRT STATION,5.733333333333333,0.746,0.0,5.999541946118935,6.943766890228481,82
ALJUNIED MRT STATION,3.5666666666666664,0.591,0.0,7.031273026704052,6.933485088029909,83
PAYA LEBAR MRT STATION,4.5,0.9385,0.0,6.6448959768069376,6.928216781445551,84
ROCHOR MRT STATION,3.4333333333333336,0.548,0.0,7.0077912441256505,6.869966328633854,85
POTONG PASIR MRT STATION,2.9666666666666663,0.9752000000000001,0.0,7.320436517273828,6.84797588048573,86
KADALOOR LRT STATION,1.25,0.569,0.0,7.92320057153063,6.724760457224504,87
JURONG EAST MRT STATION,6.066666666666667,0.756,0.0,5.5126821748878925,6.685612406576982,88
SERANGOON MRT STATION,5.683333333333334,1.172,0.0,5.7501781977553135,6.639075891537584,89
JALAN BESAR MRT STATION,3.5333333333333337,0.534,0.0,6.653318077803205,6.6291877955758975,90
BRIGHT HILL MRT STATION,5.75,1.1163333333333332,0.0,5.630574454059317,6.581192896580788,91
ORCHARD BOULEVARD MRT STATION,2.8166666666666664,0.552,1.0,7.039734201247628,6.54805402766477,92
BRADDELL MRT STATION,3.4666666666666663,0.502,0.0,6.539701855795557,6.518028151303113,93
BISHAN MRT STATION,2.4333333333333345,0.9385,0.0,7.087017098900949,6.455247012454094,94
OUTRAM PARK MRT STATION,3.7666666666666666,0.598,0.0,6.33345607187569,6.453831524167219,95
PUNGGOL LRT STATION,1.4666666666666668,0.213,1.0,7.50944851523332,6.451625478853323,96
KRANJI MRT STATION,5.858333333333334,2.82,0.1392372189656452,5.742949782166276,6.35976943716979,97
LAYAR LRT STATION,4.516666666666667,0.364,1.0,5.897022938018545,6.351485017081504,98
SENGKANG LRT STATION,1.416666666666666,0.445,0.0,7.335520804244624,6.346083310062365,99
TELOK BLANGAH MRT STATION,5.583333333333333,0.322,0.0322790234731399,5.204360087367635,6.329193500880128,100
COMPASSVALE LRT STATION,2.8666666666666663,0.693,0.0,6.6397245011647925,6.319846267598501,101
EUNOS MRT STATION,2.4088888888888893,2.259066666666667,0.0,7.030752438834577,6.136344173289885,102
HAVELOCK MRT STATION,4.883333333333334,0.568,1.0,5.4895255699322245,6.131353789279114,103
TANAH MERAH MRT STATION,3.071296296296296,2.4056111111111114,0.1111111111111111,6.691277297625587,6.089307023285655,104
PASIR PANJANG MRT STATION,3.0124999999999997,0.667,0.75,6.295314775458458,6.0328518203667665,105
FARRER ROAD MRT STATION,3.2733333333333334,1.5501999999999998,0.08654355193472447,6.249664247503766,5.990370376142874,106
UPPER THOMSON MRT STATION,2.8875,0.739625,0.30813647603514494,6.238291048156713,5.966894190921856,107
UPPER CHANGI MRT STATION,3.1566666666666663,0.7896,0.2,5.941467113795857,5.837920357703352,108
TELOK AYER MRT STATION,1.2999999999999998,0.113,0.0,6.5694145758661895,5.752931660692952,109
COVE LRT STATION,1.333333333333333,0.693,0.0,6.414814814814815,5.526585185185185,110
CHINESE GARDEN MRT STATION,0.0333333333333332,1.016,0.0,7.1334970217796565,5.516930950757058,111
COMMONWEALTH MRT STATION,3.458333333333334,2.6295,0.14535999655857834,5.806288498838921,5.487928132748612,112
MAXWELL MRT STATION,0.9500000000000002,0.389,1.0,6.474585226672303,5.381868181337843,113
BEDOK RESERVOIR MRT STATION,1.1750000000000003,1.217,0.0,6.395489773295402,5.342991818636323,114
DOVER MRT STATION,2.3866666666666667,2.7954,0.0429741963564005,6.09806802903324,5.269743670257619,115
TIONG BAHRU MRT STATION,1.872222222222223,1.9703333333333333,0.42116020697809115,6.186384714737546,5.26181397331445,116
LAVENDER MRT STATION,0.9500000000000002,0.717,0.0,6.008237357943711,5.04318988635497,117
BUGIS MRT STATION,2.0499999999999994,0.565,0.0,5.254589963280293,4.910671970624234,118
BANGKIT LRT STATION,2.033333333333333,0.259,0.0,5.126621235436359,4.862830321682421,119
KEAT HONG LRT STATION,-3.083333333333333,1.156,0.0,7.553568453207442,4.57832142923262,120
TOA PAYOH MRT STATION,-7.441666666666665,4.0280000000000005,0.0,6.430389908154034,1.3620452598565609,121
CLEMENTI MRT STATION,-9.212820512820512,5.032461538461538,0.0,6.532113425151966,0.5340702273010605,122
BOTANIC GARDENS MRT STATION,-16.943749999999998,3.408875,0.08874033897001207,7.0148317612012105,-1.8562836249360322,123
